room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
692375,3540591,Entire home/apt,Centro,Universidad,5,,11,4.0,242.0,3.0,40.429367,-3.705535,2015-02-21 03:40:28.134
693038,3545175,Private room,Vicalvaro,Casco Histórico de Vicálvaro,0,,2,1.0,44.0,1.0,40.401658,-3.610252,2015-02-21 01:38:11.280
693666,3548346,Private room,Centro,Universidad,37,4.5,2,1.0,44.0,3.0,40.424919,-3.707643,2015-02-21 03:53:12.021
694867,3540348,Entire home/apt,Villaverde,Los Angeles,1,5.0,5,3.0,103.0,3.0,40.355601,-3.698285,2015-02-21 02:20:56.342
695224,3558066,Private room,Latina,Lucero,0,,1,1.0,44.0,1.0,40.405203,-3.749874,2015-02-21 04:17:31.551
695909,3021792,Entire home/apt,Centro,Universidad,0,,6,3.0,168.0,2.0,40.425567,-3.705501,2015-02-21 02:42:59.826
696366,368907,Entire home/apt,Centro,Universidad,9,4.5,6,2.0,133.0,3.0,40.424174,-3.704949,2015-02-21 01:38:16.054
696698,2741915,Private room,Chamberi,Gaztambide,1,4.0,1,1.0,29.0,3.0,40.433474,-3.712638,2015-02-21 03:08:38.647
696780,3568468,Private room,Tetuan,Berruguete,0,,4,1.0,402.0,1.0,40.461606,-3.701368,2015-02-21 04:41:42.804
697621,681744,Entire home/apt,Salamanca,Guindalera,0,,3,1.0,51.0,5.0,40.43638,-3.67144,2015-02-21 01:09:03.893
699385,3586968,Entire home/apt,Moncloa,Argüelles,8,4.5,6,2.0,95.0,4.0,40.424148,-3.714713,2015-02-21 05:35:59.974
700665,3594499,Private room,Salamanca,Guindalera,0,,1,1.0,146.0,1.0,40.433322,-3.670854,2015-02-21 05:36:01.095
700756,3534151,Entire home/apt,Retiro,Adelfas,35,5.0,6,2.0,81.0,3.0,40.399115,-3.670071,2015-02-21 02:22:38.903
701051,3460086,Private room,Arganzuela,Palos de Moguer,37,5.0,1,1.0,45.0,3.0,40.404723,-3.693086,2015-02-21 03:10:02.219
704122,1803498,Entire home/apt,Centro,Universidad,0,,5,2.0,119.0,3.0,40.421264,-3.702947,2015-02-21 03:08:45.709
704155,3606346,Entire home/apt,Centro,Embajadores,89,4.5,4,1.0,92.0,1.0,40.41331,-3.705095,2015-02-21 03:45:30.753
704238,3616523,Entire home/apt,Centro,Sol,42,5.0,5,1.0,95.0,,40.419616,-3.701711,2015-02-21 05:21:58.067
704258,1803498,Entire home/apt,Centro,Sol,3,3.5,4,1.0,103.0,3.0,40.415578,-3.702028,2015-02-21 00:45:13.194
704278,3479084,Private room,Villa de Vallecas,Casco Histórico de Vallecas,0,,2,1.0,44.0,1.0,40.378474,-3.626393,2015-02-21 01:11:01.178
704365,3617516,Private room,San Blas,Simancas,0,,1,1.0,51.0,1.0,40.436492,-3.623633,2015-02-21 02:53:53.630
705261,3623218,Entire home/apt,Puente de Vallecas,Numancia,24,4.5,3,1.0,63.0,2.0,40.4039,-3.660779,2015-02-21 05:20:58.186
705305,681744,Entire home/apt,Centro,Embajadores,2,4.0,4,2.0,59.0,2.0,40.409889,-3.706879,2015-02-21 01:14:18.338
705728,3625729,Private room,Retiro,Pacífico,0,,1,1.0,58.0,1.0,40.403913,-3.682032,2015-02-21 04:26:37.633
705891,2695670,Entire home/apt,Chamberi,Rios Rosas,0,,1,1.0,95.0,2.0,40.445128,-3.703674,2015-02-21 02:40:46.103
705986,3309099,Entire home/apt,Chamberi,Arapiles,0,,5,2.0,88.0,10.0,40.43138,-3.705622,2015-02-21 04:28:57.917
706583,3632009,Private room,Arganzuela,Atocha,0,,1,1.0,88.0,1.0,40.399097,-3.678525,2015-02-21 01:11:48.017
706835,3483233,Private room,Puente de Vallecas,Numancia,2,5.0,1,1.0,25.0,15.0,40.397073,-3.662433,2015-02-21 01:06:31.957
707153,3634681,Private room,Villa de Vallecas,Casco Histórico de Vallecas,11,5.0,2,1.0,29.0,2.0,40.366427,-3.591249,2015-02-21 02:18:18.406
707232,3477002,Private room,Chamberi,Vallehermoso,5,4.5,2,1.0,81.0,3.0,40.441212,-3.712278,2015-02-21 03:51:06.247
707670,3540591,Entire home/apt,Centro,Universidad,6,3.0,5,2.0,95.0,3.0,40.429196,-3.706743,2015-02-21 02:25:37.328
709208,3648882,Entire home/apt,Centro,Sol,141,5.0,4,1.0,79.0,2.0,40.416742,-3.707433,2015-02-21 02:27:47.544
710156,3654886,Private room,Barajas,Alameda de Osuna,40,5.0,1,1.0,40.0,1.0,40.453469,-3.591987,2015-02-21 00:57:50.304
710870,3654108,Private room,Centro,Universidad,88,4.0,1,1.0,25.0,1.0,40.426883,-3.705751,2015-02-21 04:52:53.495
711839,199193,Private room,Tetuan,Valdeacederas,33,4.5,2,1.0,42.0,3.0,40.46453,-3.704767,2015-02-21 03:50:07.715
712082,2696558,Entire home/apt,Centro,Universidad,0,,6,3.0,286.0,5.0,40.420417,-3.705844,2015-02-21 03:35:57.117
712432,3667333,Entire home/apt,Centro,Justicia,43,5.0,6,2.0,143.0,2.0,40.42242,-3.69678,2015-02-21 05:25:09.001
714601,3680185,Private room,Moncloa,Ciudad Universitaria,0,,1,1.0,59.0,1.0,40.463149,-3.725033,2015-02-21 02:49:02.828
714768,2582290,Entire home/apt,Centro,Sol,75,4.5,4,1.0,101.0,2.0,40.417112,-3.705271,2015-02-21 01:03:08.593
714983,2747005,Entire home/apt,Moratalaz,Media Legua,4,4.5,7,4.0,175.0,5.0,40.411678,-3.653149,2015-02-21 05:13:05.182
716232,2747005,Entire home/apt,Ciudad Lineal,Concepción,3,4.5,5,2.0,124.0,7.0,40.437156,-3.65187,2015-02-21 04:36:48.357
716246,3690986,Private room,Carabanchel,Vista Alegre,0,,1,1.0,66.0,3.0,40.386665,-3.742637,2015-02-21 04:53:11.106
716292,3691303,Entire home/apt,Centro,Universidad,29,4.5,6,1.0,88.0,1.0,40.424966,-3.702709,2015-02-21 00:48:01.184
717313,3698406,Entire home/apt,Centro,Sol,37,5.0,2,1.0,146.0,3.0,40.415603,-3.704101,2015-02-21 00:44:06.969
723088,2555202,Entire home/apt,Centro,Justicia,34,5.0,6,2.0,103.0,3.0,40.425556,-3.700667,2015-02-21 03:32:59.661
720568,3719521,Entire home/apt,Chamberi,Trafalgar,12,4.5,4,1.0,61.0,3.0,40.435838,-3.701551,2015-02-21 04:17:57.536
721057,1954334,Entire home/apt,Centro,Embajadores,141,4.5,4,2.0,62.0,1.0,40.409124,-3.700638,2015-02-21 03:51:24.445
721226,3723667,Private room,Puente de Vallecas,Palomeras Bajas,1,5.0,2,1.0,44.0,1.0,40.380638,-3.654139,2015-02-21 02:09:02.953
721377,3724500,Entire home/apt,Fuencarral,Valverde,4,5.0,2,1.0,73.0,1.0,40.501712,-3.6903,2015-02-21 05:04:51.763
721647,3725856,Private room,Centro,Universidad,11,4.0,6,1.0,37.0,1.0,40.423431,-3.708767,2015-02-21 05:22:22.671
721831,584351,Entire home/apt,Centro,Palacio,3,4.5,3,1.0,95.0,3.0,40.412041,-3.709019,2015-02-21 03:57:56.813
721870,584351,Entire home/apt,Centro,Palacio,5,4.5,4,2.0,110.0,3.0,40.411821,-3.709931,2015-02-21 04:43:27.151
722199,3726310,Private room,Puente de Vallecas,Entrevías,0,,2,1.0,32.0,1.0,40.380287,-3.676393,2015-02-21 01:11:13.014
723357,3670008,Entire home/apt,Centro,Sol,1,4.5,4,1.0,110.0,5.0,40.419057,-3.706877,2015-02-21 03:47:06.972
724101,3743274,Entire home/apt,Salamanca,Recoletos,0,,3,2.0,205.0,3.0,40.425651,-3.682606,2015-02-21 03:20:04.121
724102,3743274,Entire home/apt,Chamartin,Nueva España,0,,4,2.0,220.0,1.0,40.466263,-3.680218,2015-02-21 03:21:15.654
724333,3725856,Private room,Centro,Universidad,20,4.5,16,1.0,22.0,1.0,40.424267,-3.708596,2015-02-21 02:53:17.385
724338,3725856,Private room,Centro,Universidad,11,4.0,16,1.0,28.0,1.0,40.425947,-3.710372,2015-02-21 02:58:48.602
724700,3746437,Entire home/apt,Centro,Embajadores,0,,4,1.0,131.0,4.0,40.411697,-3.703837,2015-02-21 04:59:10.254
725482,2526386,Private room,Chamberi,Almagro,5,4.5,2,1.0,69.0,2.0,40.429223,-3.692668,2015-02-21 05:15:59.775
725614,3753476,Entire home/apt,Salamanca,Guindalera,0,,5,2.0,322.0,5.0,40.429296,-3.668799,2015-02-21 02:54:29.660
725617,3753476,Entire home/apt,Centro,Palacio,0,,2,1.0,132.0,3.0,40.419058,-3.710378,2015-02-21 02:57:46.900
725621,3753476,Entire home/apt,Centro,Embajadores,1,4.5,8,3.0,322.0,5.0,40.413594,-3.70214,2015-02-21 03:02:18.610
725635,3753476,Entire home/apt,Centro,Cortes,3,4.5,3,1.0,190.0,3.0,40.417732,-3.695559,2015-02-21 03:18:01.519
725638,3753476,Entire home/apt,Centro,Cortes,0,,2,1.0,190.0,2.0,40.414155,-3.703388,2015-02-21 03:21:18.556
725643,3753476,Entire home/apt,Centro,Embajadores,0,,2,1.0,146.0,2.0,40.412867,-3.700135,2015-02-21 03:26:56.213
726136,2747005,Entire home/apt,Barajas,Alameda de Osuna,3,4.5,6,2.0,125.0,7.0,40.453821,-3.590442,2015-02-21 03:05:53.863
726287,3725856,Private room,Centro,Palacio,6,3.0,6,1.0,37.0,1.0,40.422901,-3.710619,2015-02-21 01:00:44.257
726408,3759135,Entire home/apt,Ciudad Lineal,San Juan Bautista,4,3.5,3,1.0,117.0,4.0,40.449339,-3.652707,2015-02-21 03:24:01.341
726816,2351827,Entire home/apt,Centro,Embajadores,42,5.0,4,1.0,81.0,2.0,40.413876,-3.704373,2015-02-21 01:20:49.999
726951,2172169,Entire home/apt,Centro,Universidad,1,5.0,3,1.0,88.0,3.0,40.42284,-3.703848,2015-02-21 03:58:02.406
727190,3758909,Private room,Retiro,Pacífico,0,,1,1.0,35.0,1.0,40.406374,-3.674213,2015-02-21 03:38:56.933
727213,3725856,Private room,Centro,Universidad,5,4.5,16,1.0,29.0,1.0,40.424348,-3.708443,2015-02-21 04:06:09.251
727588,498646,Entire home/apt,Puente de Vallecas,San Diego,0,,4,2.0,51.0,14.0,40.39216,-3.671772,2015-02-21 01:24:34.860
728098,1422050,Private room,Centro,Universidad,4,5.0,2,1.0,59.0,1.0,40.423944,-3.703154,2015-02-21 01:22:45.545
728186,3776270,Private room,Moratalaz,Vinateros,0,,1,1.0,146.0,1.0,40.405614,-3.645417,2015-02-21 03:08:08.300
728978,1566057,Entire home/apt,Centro,Embajadores,87,5.0,5,1.0,81.0,3.0,40.411837,-3.69956,2015-02-21 03:35:19.933
729028,3785878,Private room,Salamanca,Fuente del Berro,0,,2,1.0,66.0,1.0,40.425813,-3.666107,2015-02-21 04:30:52.907
729905,3778243,Entire home/apt,Ciudad Lineal,Pueblo Nuevo,28,4.5,6,2.0,122.0,2.0,40.425114,-3.640466,2015-02-21 01:41:03.418
730219,3796630,Private room,Hortaleza,Pinar del Rey,4,4.5,2,1.0,19.0,1.0,40.46739,-3.662415,2015-02-21 02:50:36.361
730347,3797913,Entire home/apt,Centro,Sol,10,4.5,6,2.0,205.0,3.0,40.41611,-3.707456,2015-02-21 05:17:27.897
730502,3797913,Entire home/apt,Centro,Palacio,1,4.0,6,2.0,205.0,3.0,40.419425,-3.712199,2015-02-21 03:21:28.617
730568,3797913,Entire home/apt,Centro,Palacio,2,5.0,6,2.0,219.0,2.0,40.417051,-3.708952,2015-02-21 04:35:47.417
730746,2425572,Entire home/apt,Centro,Universidad,21,5.0,4,2.0,183.0,2.0,40.428089,-3.704831,2015-02-21 03:08:11.875
733312,3730591,Entire home/apt,Chamberi,Rios Rosas,6,4.0,2,1.0,66.0,1.0,40.440363,-3.70146,2015-02-21 03:15:05.589
733365,3821608,Private room,Chamberi,Trafalgar,3,5.0,2,1.0,45.0,2.0,40.436584,-3.703549,2015-02-21 04:14:23.417
735193,1387923,Entire home/apt,Chamberi,Almagro,5,4.5,4,2.0,161.0,2.0,40.427579,-3.69391,2015-02-21 04:55:40.745
737480,2960080,Entire home/apt,Centro,Universidad,53,4.5,5,2.0,80.0,2.0,40.424059,-3.705172,2015-02-21 04:35:52.351
738837,3771869,Entire home/apt,Centro,Embajadores,14,4.5,3,1.0,95.0,2.0,40.408521,-3.703542,2015-02-21 01:08:31.675
739215,3865670,Private room,Puente de Vallecas,Palomeras Sureste,3,4.5,1,1.0,22.0,5.0,40.381528,-3.645062,2015-02-21 03:31:57.127
739379,3813875,Private room,Centro,Embajadores,70,3.5,2,1.0,42.0,1.0,40.411554,-3.699342,2015-02-21 01:42:53.815
740338,3874257,Private room,Hortaleza,Palomas,2,5.0,1,1.0,66.0,1.0,40.452146,-3.614373,2015-02-21 05:26:58.683
740457,3874770,Private room,Latina,Campamento,0,,2,1.0,44.0,1.0,40.378661,-3.795236,2015-02-21 02:47:42.797
741330,2646146,Entire home/apt,Salamanca,Lista,1,5.0,9,4.0,175.0,1.0,40.430303,-3.671762,2015-02-21 04:47:54.198
742996,681744,Entire home/apt,Centro,Universidad,2,3.5,4,1.0,66.0,1.0,40.423,-3.705223,2015-02-21 02:21:59.018
743200,1422050,Entire home/apt,Centro,Universidad,93,4.5,4,2.0,117.0,1.0,40.427159,-3.706614,2015-02-21 01:21:17.911
743650,2236658,Private room,Centro,Embajadores,77,4.5,2,1.0,34.0,1.0,40.41139,-3.70067,2015-02-21 05:06:39.334
743847,2376101,Entire home/apt,Centro,Universidad,1,5.0,4,1.0,117.0,2.0,40.426175,-3.709927,2015-02-21 03:58:19.407
